school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,onemap_query,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
CRESCENT GIRLS' SCHOOL,http://www.crescent.edu.sg,357  TANGLIN ROAD,247961,64758711,na,64741248,na,CRESCENTGIRL@MOE.EDU.SG,REDHILL MRT,"32, 111, 122, 132, 51, 139, 186, 970",MRS HELEN CHONG,MISS USHA JEYARAJAH,NULL,NULL,NULL,NULL,NULL,BUKIT MERAH,SOUTH,GOVERNMENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,CRESCENT GIRLS' SCHOOL,CRESCENT GIRLS' SCHOOL,357,TANGLIN ROAD,CRESCENT GIRLS' SCHOOL,357 TANGLIN ROAD CRESCENT GIRLS' SCHOOL SINGAPORE 247961,247961,26244.4775615539,30634.2204785477,1.29331947049729,103.817544461483,103.817544461483
CREST SECONDARY SCHOOL,http://www.crestsec.edu.sg,561  JURONG EAST STREET 24,609561,68992779,na,68992668,na,info@crestsec.edu.sg,"BUKIT BATOK MRT, JURONG EAST MRT","41, 52, 98, 98M, 105, 176, 183, 187, 188, 188R, 333, 502, 868, 990",MR SEET TIAT HEE,MR HO KUM FAI SAM,MR CHAN TECK HONG DAVID,NULL,NULL,NULL,NULL,JURONG EAST,WEST,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,CREST SECONDARY SCHOOL,CREST SECONDARY SCHOOL,561,JURONG EAST STREET 24,CREST SECONDARY SCHOOL,561 JURONG EAST STREET 24 CREST SECONDARY SCHOOL SINGAPORE 609561,609561,17907.1336000822,36141.0674422178,1.3431198045076,103.742628105304,103.742628105304
DAMAI PRIMARY SCHOOL,http://www.damaipri.moe.edu.sg,52   BEDOK RESERVOIR CRESCENT,479226,64456483,na,64499681,na,DAMAI_PS@MOE.EDU.SG,Bedok North MRT Station,"Bus 228,66,65,22,21,5 and 506",MRS LEONG- TAN LING LING JENNY,MDM LIM PECK CHIN YENLYN,NULL,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,DAMAI PRIMARY SCHOOL,DAMAI PRIMARY SCHOOL,52,BEDOK RESERVOIR CRESCENT,DAMAI PRIMARY SCHOOL,52 BEDOK RESERVOIR CRESCENT DAMAI PRIMARY SCHOOL SINGAPORE 479226,479226,37788.0885467725,35294.1912929006,1.33546106800406,103.921270169613,103.921270169613
DAMAI SECONDARY SCHOOL,http://www.damaisec.moe.edu.sg,4800 BEDOK RESERVOIR ROAD,479229,64436848,na,64425629,na,damai_ss@moe.edu.sg,"BEDOK RESERVOIR MRT, BEDOK MRT, TAMPINES MRT","5, 21, 22, 59, 65, 66, 228, 506, CT18",MDM CHAN WAN SIONG,MRS OH WEE MING,MR SIVAKUMAR S/O VISWANATHAN,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,DAMAI SECONDARY SCHOOL,DAMAI SECONDARY SCHOOL,4800,BEDOK RESERVOIR ROAD,DAMAI SECONDARY SCHOOL,4800 BEDOK RESERVOIR ROAD DAMAI SECONDARY SCHOOL SINGAPORE 479229,479229,38435.9529452929,35456.4196343422,1.33692798510393,103.927091653438,103.927091653438
DAZHONG PRIMARY SCHOOL,http://www.dazhongpri.moe.edu.sg,35   BUKIT BATOK STREET 31,659441,65658002,na,65636421,na,dazhong_ps@moe.edu.sg,Bukit Gombak,"187, 188",MDM YAP SIU LIN,MR PHANG TECK HOW,MRS BOEY- LIM SEOW KHIM,NULL,NULL,NULL,NULL,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,DAZHONG PRIMARY SCHOOL,DAZHONG PRIMARY SCHOOL,35,BUKIT BATOK STREET 31,DAZHONG PRIMARY SCHOOL,35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441,659441,18557.5702323942,37916.8722190689,1.3591797447277,103.74847210784,103.74847210784
DE LA SALLE SCHOOL,http://www.delasalle.moe.edu.sg,11   Choa Chu Kang St 52,689285,67667675,na,67622075,na,dlss@moe.edu.sg,YEW TEE MRT,"TIBS 302, 979",MDM CHERYL CHOO SHUEH-LI,MR CHING KIN HIN,NULL,NULL,NULL,NULL,NULL,CHOA CHU KANG,WEST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,DE LA SALLE SCHOOL,DE LA SALLE SCHOOL,11,CHOA CHU KANG STREET 52,DE LA SALLE SCHOOL,11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285,689285,17971.195454672,41845.4133931287,1.3947078296399,103.743201812831,103.743201812831
DEYI SECONDARY SCHOOL,http://www.deyisec.moe.edu.sg,1    ANG MO KIO STREET 42,569277,64561565,na,64583364,na,DEYI_SS@MOE.EDU.SG,ANG MO KIO MRT,"22, 24, 25, 45, 50, 55, 73, 74, 76, 88, 132, 135, 159, 162, 165, 261, 262, 268, 652, 853",MRS LIM AI POO,MDM TAN SHAO MAY,MR APOLLOS INDUCHOODAN S/O R A P,NULL,NULL,NULL,NULL,ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,DEYI SECONDARY SCHOOL,DEYI SECONDARY SCHOOL,1,ANG MO KIO STREET 42,DEYI SECONDARY SCHOOL,1 ANG MO KIO STREET 42 DEYI SECONDARY SCHOOL SINGAPORE 569277,569277,30139.7572483057,38670.5350554623,1.36599702567717,103.852545772422,103.852545772422
DUNEARN SECONDARY SCHOOL,http://www.dunearnsec.moe.edu.sg,21   BUKIT BATOK WEST AVENUE 2,659204,65653692,na,65668650,na,DUNEARN_SS@MOE.EDU.SG,"BUKIT BATOK MRT, BUKIT GOMBAK MRT","160, 180, 187, 188, 945, 947, 985",MDM TAN MIAO LING,MRS SHANTHIMALAR SOMASUNDRAM,MISS TAY JIA MING JASMINE,NULL,NULL,NULL,NULL,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,DUNEARN SECONDARY SCHOOL,DUNEARN SECONDARY SCHOOL,21,BUKIT BATOK WEST AVENUE 2,DUNEARN SECONDARY SCHOOL,21 BUKIT BATOK WEST AVENUE 2 DUNEARN SECONDARY SCHOOL SINGAPORE 659204,659204,18140.1430463539,38403.3358936273,1.36357900792871,103.74472109107,103.74472109107
DUNMAN HIGH SCHOOL,http://www.dunmanhigh.moe.edu.sg,10   TANJONG RHU ROAD,436895,63450533,na,63442316,na,DHS@MOE.EDU.SG,"ALJUNIED MRT, KALLANG MRT, MOUNTBATTEN MRT","12, 14, 30, 158, 196",MR LOW TECK ENG TONY,MISS LIE SUYIN JAMIE,MDM LEONG SOOK HING,MR CHUA KAH SHENG,NULL,NULL,NULL,KALLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,Yes,Yes,Chinese,na,na,DUNMAN HIGH SCHOOL,DUNMAN HIGH SCHOOL,10,TANJONG RHU ROAD,DUNMAN HIGH SCHOOL,10 TANJONG RHU ROAD DUNMAN HIGH SCHOOL SINGAPORE 436895,436895,33522.593402571,31368.7836118564,1.29996216014962,103.88294155989,103.88294155989
DUNMAN SECONDARY SCHOOL,http://www.dunmansec.moe.edu.sg,21   TAMPINES STREET 45,529093,67862668,na,67842164,na,DUNMAN_SS@MOE.EDU.SG,TAMPINES EAST MRT,"28, 29, 293",MR TOH THIAM CHYE,MRS CLAIRE CHO,MR MOHAMED SAYADI BIN MOHAMED NOR,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,DUNMAN SECONDARY SCHOOL,DUNMAN SECONDARY SCHOOL,21,TAMPINES STREET 45,DUNMAN SECONDARY SCHOOL,21 TAMPINES STREET 45 DUNMAN SECONDARY SCHOOL SINGAPORE 529093,529093,41676.8242046405,38079.9135282841,1.36065258337022,103.956213906966,103.956213906966
EAST SPRING PRIMARY SCHOOL,http://www.eastspringpri.moe.edu.sg,31   TAMPINES ST 33,529258,67866192,na,67866649,na,esps@moe.edu.sg,Tampines,"291, 28,18",MR WONG KIN MUN,MRS LEE-GOH SIEW LING MARIA,NULL,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,EAST SPRING PRIMARY SCHOOL,EAST SPRING PRIMARY SCHOOL,31,TAMPINES STREET 33,EAST SPRING PRIMARY SCHOOL,31 TAMPINES STREET 33 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258,529258,42284.8340225685,37198.8184850682,1.35268400746357,103.961676849165,103.961676849165
EAST SPRING SECONDARY SCHOOL,http://www.eastspringsec.moe.edu.sg,30   TAMPINES STREET 34,529231,65873805,na,65873804,na,esss@moe.edu.sg,"TAMPINES MRT, TAMPINES EAST MRT","3, 4, 9, 12, 17, 18, 19, 21, 28, 29, 34, 37, 39, 59, 81, 291, 518",MISS HO SUSIE,MR ANG JOHNNY,MR TAN SHIN EIK,NULL,NULL,NULL,NULL,TAMPINES,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,EAST SPRING SECONDARY SCHOOL,EAST SPRING SECONDARY SCHOOL,30,TAMPINES STREET 34,EAST SPRING SECONDARY SCHOOL,30 TAMPINES STREET 34 EAST SPRING SECONDARY SCHOOL SINGAPORE 529231,529231,42169.5015330398,37590.3682097681,1.35622508992581,103.960640700298,103.960640700298
EDGEFIELD PRIMARY SCHOOL,http://www.edgefieldpri.moe.edu.sg,41   EDGEFIELD PLAINS,828869,63126091,na,63126093,na,edgefield_ps@moe.edu.sg,Punggol MRT,"3, 34, 62, 82, 83, 136",MR MICHEL SAW MUN SEONG,MR LOW KAH HENG THOMAS,MDM FAZILAH MARICAR D/O MD ALI M,NULL,NULL,NULL,NULL,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,EDGEFIELD PRIMARY SCHOOL,EDGEFIELD PRIMARY SCHOOL,41,EDGEFIELD PLAINS,EDGEFIELD PRIMARY SCHOOL,41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869,828869,36294.0746121518,42440.6405269764,1.40009139510996,103.907847599114,103.907847599114
EDGEFIELD SECONDARY SCHOOL,http://www.edgefieldsec.moe.edu.sg,36   PUNGGOL FIELD,828814,68839511,na,63153120,na,edgefield_ss@moe.edu.sg,PUNGGOL MRT,"3, 34, 62, 82, 83, 119, 136, 381, 382G",MR LEE PECK PING,MDM LIM PUAY KHENG,MR BENSON TEO HONG GUAN,NULL,NULL,NULL,NULL,PUNGGOL,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,EDGEFIELD SECONDARY SCHOOL,EDGEFIELD SECONDARY SCHOOL,36,PUNGGOL FIELD,EDGEFIELD SECONDARY SCHOOL,36 PUNGGOL FIELD EDGEFIELD SECONDARY SCHOOL SINGAPORE 828814,828814,35719.8105087345,42496.0989190713,1.40059309981824,103.902687385465,103.902687385465
ELIAS PARK PRIMARY SCHOOL,http://www.eliasparkpri.moe.edu.sg,11   PASIR RIS STREET 52,518866,65844393,na,65844392,na,epps@moe.edu.sg,Pasir Ris MRT,"3, 15, 39, 53, 81, 88, 89, 357, 403, 518",MDM CHUA PEI PEI,MRS ESTHER SEE-LING SZENGEN,MR MOHAMAD NOOR BIN ABDUL MANAF @,NULL,NULL,NULL,NULL,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,ELIAS PARK PRIMARY SCHOOL,ELIAS PARK PRIMARY SCHOOL,11,PASIR RIS STREET 52,ELIAS PARK PRIMARY SCHOOL,11 PASIR RIS STREET 52 ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866,518866,40443.0313903531,39612.4369040336,1.37451269377776,103.945128117139,103.945128117139
ENDEAVOUR PRIMARY SCHOOL,https://endeavourpri.moe.edu.sg/,10   Admiralty Link,757521,64824650,64824835,64824670,na,endeavour_ps@moe.edu.sg,Sembawang MRT Station,"859, 962",MR KOH KIAN SENG THOMAS,MR RAZALI B SENIN,MDM CHUA HUI PIN,NULL,NULL,NULL,NULL,SEMBAWANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na,ENDEAVOUR PRIMARY SCHOOL,ENDEAVOUR PRIMARY SCHOOL,10,ADMIRALTY LINK,ENDEAVOUR PRIMARY SCHOOL,10 ADMIRALTY LINK ENDEAVOUR PRIMARY SCHOOL SINGAPORE 757521,757521,26232.5507349819,48405.7003912628,1.45403837499301,103.817436231731,103.817436231731
EUNOIA JUNIOR COLLEGE,http://www.eunoiajc.moe.edu.sg,2    Sin Ming Place,573838,63518388,na,63518399,na,eunoiajc@moe.edu.sg,"Bishan MRT Station, Marymount MRT Station, Ang Mo Kio MRT Station","13, 52, 74, 88, 130, 410G, 410W, 851, 852",MDM CHEANG MEI HENG,MR TAY JUNCHENG ADRIAN,MR CHEN XUANTING EDMUND,NULL,NULL,NULL,NULL,BISHAN,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,Chinese,Malay,Tamil,EUNOIA JUNIOR COLLEGE,EUNOIA JUNIOR COLLEGE,2,SIN MING PLACE,EUNOIA JUNIOR COLLEGE,2 SIN MING PLACE EUNOIA JUNIOR COLLEGE SINGAPORE 573838,573838,28886.6991347941,38243.7692278698,1.36213757183547,103.841286169122,103.841286169122
EUNOS PRIMARY SCHOOL,http://www.eunospri.moe.edu.sg/,95   JALAN EUNOS,419529,67463336,na,67488554,na,eunos_ps@moe.edu.sg,Nearest MRT Station - Eunos,"Bus Services (SBS): 15, 21, 25, 51, 55, 63, 93, 94, 60 Bus Services (SMRT) : 61, 854, 966",MDM PHUA YIN LIN GRACE,MDM TAN KIM YAN,NULL,NULL,NULL,NULL,NULL,GEYLANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,EUNOS PRIMARY SCHOOL,EUNOS PRIMARY SCHOOL,95,JALAN EUNOS,EUNOS PRIMARY SCHOOL,95 JALAN EUNOS EUNOS PRIMARY SCHOOL SINGAPORE 419529,419529,35926.3698536828,34079.4906147029,1.32447629876368,103.904541254016,103.904541254016
EVERGREEN PRIMARY SCHOOL,http://www.evergreenpri.moe.edu.sg/,31   WOODLANDS CIRCLE,738908,63687705,na,63688084,na,EVERGREEN_PS@MOE.EDU.SG,Admiralty,"913(front), 911 & 858(back)",MDM RABIATHUL BAZRIYA D/O ABU BAKAR,MDM YEO SIAU YEN,MRS PETRINA KOH,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,EVERGREEN PRIMARY SCHOOL,EVERGREEN PRIMARY SCHOOL,31,WOODLANDS CIRCLE,EVERGREEN PRIMARY SCHOOL,31 WOODLANDS CIRCLE EVERGREEN PRIMARY SCHOOL SINGAPORE 738908,738908,23688.7552570887,47312.692020528,1.44415332824735,103.794577787757,103.794577787757
EVERGREEN SECONDARY SCHOOL,http://www.evergreensec.moe.edu.sg,11   WOODLANDS STREET 83,738489,63656392,na,63658083,na,EVERGREEN_SS@MOE.EDU.SG,WOODLANDS MRT,911,MR TOH KIM YONG VINCENT,MR CHUA TUNG KIAN,MR LAK YAU HUI,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,EVERGREEN SECONDARY SCHOOL,EVERGREEN SECONDARY SCHOOL,11,WOODLANDS STREET 83,EVERGREEN SECONDARY SCHOOL,11 WOODLANDS STREET 83 EVERGREEN SECONDARY SCHOOL SINGAPORE 738489,738489,23639.7815383626,47018.3404796105,1.44149131273737,103.794137756171,103.794137756171
FAIRFIELD METHODIST SCHOOL (PRIMARY),http://www.fmsp.moe.edu.sg/,100  DOVER ROAD,139648,67788431,na,67762948,na,fmsp@moe.edu.sg,"One-North MRT, Buona Vista MRT & Dover MRT","SBS Bus 14,33,74,166 & 196",MDM LAW LI MEI,MDM QUEK TSUI LAN PRISCA,NULL,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,FAIRFIELD METHODIST SCHOOL (PRIMARY),FAIRFIELD METHODIST SCHOOL (PRIMARY),100,DOVER ROAD,FAIRFIELD METHODIST SCHOOL (PRIMARY),100 DOVER ROAD FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648,139648,22671.3515878748,31432.7656800412,1.30054082453424,103.785438270044,103.785438270044
FAIRFIELD METHODIST SCHOOL (SECONDARY),http://www.fairfieldmethodistsec.moe.edu.sg,102  DOVER ROAD,139649,67788702,na,67797482,na,FMSS@MOE.EDU.SG,"BUONA VISTA MRT, ONE-NORTH MRT","33, 74, 166, 196",MS CHEN LI YING AUDREY,MR LIM SIN HENG,MR LIM YONG CHAI ALAN,NULL,NULL,NULL,NULL,QUEENSTOWN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,FAIRFIELD METHODIST SCHOOL (SECONDARY),FAIRFIELD METHODIST SCHOOL (SECONDARY),102,DOVER ROAD,FAIRFIELD METHODIST SCHOOL (SECONDARY),102 DOVER ROAD FAIRFIELD METHODIST SCHOOL (SECONDARY) SINGAPORE 139649,139649,22522.3772030193,31553.6179904211,1.30163374395823,103.784099647149,103.784099647149
FAJAR SECONDARY SCHOOL,http://www.fajarsec.moe.edu.sg,31   GANGSA ROAD,678972,67691491,na,67633025,na,FAJAR_SS@MOE.EDU.SG,"BUKIT PANJANG MRT, BUKIT PANJANG LRT, PETIR LRT","67, 75, 75A, 170, 171, 176, 177, 178, 180, 180A, 920, 922, 960, 961, 963, 963E, 963R, 970, 972, 972A, 973, 973A, 975, 976, 979",MISS HO SOOK FUN DORIS,MS CHOO WAN XIAN,MR NGOH SING KIEN ARTHUR,NULL,NULL,NULL,NULL,BUKIT PANJANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,FAJAR SECONDARY SCHOOL,FAJAR SECONDARY SCHOOL,31,GANGSA ROAD,FAJAR SECONDARY SCHOOL,31 GANGSA ROAD FAJAR SECONDARY SCHOOL SINGAPORE 678972,678972,20285.5773530258,39732.4925308134,1.375600053443,103.763998914082,103.763998914082
FARRER PARK PRIMARY SCHOOL,http://www.farrerparkpri.moe.edu.sg,2    FARRER PARK ROAD,217567,62952272,na,62942272,na,fpps@moe.edu.sg,Farrer Park MRT Station,131,MISS CHEONG HWEE KHIM,MR RAMESH MUKUNDHAN,NULL,NULL,NULL,NULL,NULL,KALLANG,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,FARRER PARK PRIMARY SCHOOL,FARRER PARK PRIMARY SCHOOL,2,FARRER PARK ROAD,FARRER PARK PRIMARY SCHOOL,2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567,217567,29941.7768185176,32740.5849021059,1.31236867681371,103.850766402965,103.850766402965
FENGSHAN PRIMARY SCHOOL,http://www.fengshanpri.moe.edu.sg,307  BEDOK NORTH ROAD,469680,65860123,na,65860122,na,fsps@moe.edu.sg,Bedok MRT,"18, 228, 222, 17, 69, 66, 67, 168, 28, 506, 14, 45",MR POH CHEE YANG,MDM LAI KAI CHING,MR LEE MIN SEN,NULL,NULL,NULL,NULL,BEDOK,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,FENGSHAN PRIMARY SCHOOL,FENGSHAN PRIMARY SCHOOL,307,BEDOK NORTH ROAD,FENGSHAN PRIMARY SCHOOL,307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680,469680,38949.9907227494,34668.9245775398,1.32980598760785,103.931710293058,103.931710293058
FERN GREEN PRIMARY SCHOOL,www.ferngreenpri.moe.edu.sg,70   Fernvale Link,797538,68343100,na,68343116,na,ferngreen_ps@moe.edu.sg,Kupang LRT Station (SW3),"85, 102",MRS TANG- CHIM LEE MAI,MR SEE KOK KIONG,MDM KYLICIA SOO GEOK LING,NULL,NULL,NULL,NULL,SENG KANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,FERN GREEN PRIMARY SCHOOL,FERN GREEN PRIMARY SCHOOL,70,FERNVALE LINK,FERN GREEN PRIMARY SCHOOL,70 FERNVALE LINK FERN GREEN PRIMARY SCHOOL SINGAPORE 797538,797538,33231.7764054528,42128.5479522273,1.39726966050479,103.880330305684,103.880330305684
FERNVALE PRIMARY SCHOOL,www.fernvalepri.moe.edu.sg,1    Fernvale Lane,797701,63153051,na,63153067,na,fernvale_ps@moe.edu.sg,Fernvale LRT (Sengkang West Loop),"Along Sengkang West Ave - Bus Services 50, 163; Along Yio Chu Kang Road - Bus Services 70, 86, 103 and 854.",MDM BALAKRISHNA VYJANTHIMALA,MISS YAP AI LI,MR YAP LIH MIN SAMUEL,NULL,NULL,NULL,NULL,SENG KANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,FERNVALE PRIMARY SCHOOL,FERNVALE PRIMARY SCHOOL,1,FERNVALE LANE,FERNVALE PRIMARY SCHOOL,1 FERNVALE LANE FERNVALE PRIMARY SCHOOL SINGAPORE 797701,797701,32576.8849010281,41358.1178030372,1.39030227963797,103.874445458032,103.874445458032
FIRST TOA PAYOH PRIMARY SCHOOL,http://www.firsttoapayohpri.moe.edu.sg,7    LORONG 8 TOA PAYOH,319252,62567822,na,62561102,na,FTPPS@MOE.EDU.SG,Braddell & Toa Payoh Stations,"157,153,105,159,88,FS238",MR CHUA CHOON GUAN,MDM LOW LEE CHERN,NULL,NULL,NULL,NULL,NULL,TOA PAYOH,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,FIRST TOA PAYOH PRIMARY SCHOOL,FIRST TOA PAYOH PRIMARY SCHOOL,7,LORONG 8 TOA PAYOH,FIRST TOA PAYOH PRIMARY SCHOOL,7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252,319252,30471.8817195026,35831.634454662,1.34032299499938,103.855529906182,103.855529906182
FRONTIER PRIMARY SCHOOL,http://www.frontierpri.moe.edu.sg,20   Jurong West Street 61,648200,65789555,na,67908596,na,frontier_ps@moe.edu.sg,Pioneer MRT Station (EW28),"241, 974, 179",MDM LEE YEW KOON TONNINE,MDM CHAN YEE CHIN WILNA,MDM DAPHNE CHAN PEI SZE,NULL,NULL,NULL,NULL,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,FRONTIER PRIMARY SCHOOL,FRONTIER PRIMARY SCHOOL,20,JURONG WEST STREET 61,FRONTIER PRIMARY SCHOOL,20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200,648200,13129.8467444237,35399.679120725,1.33641298743234,103.69970173931,103.69970173931
FUCHUN PRIMARY SCHOOL,http://www.fuchunpri.moe.edu.sg,23   WOODLANDS AVENUE 1,739063,63683925,na,63670117,na,FCPS@MOE.EDU.SG,Marsiling,"187,856,912,925,950,960,961,963,963E,963R,966",MRS EUNICE LIM,MISS LIM PEI LIN OLIVIA,MR TAN CHIN KEE,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,FUCHUN PRIMARY SCHOOL,FUCHUN PRIMARY SCHOOL,23,WOODLANDS AVENUE 1,FUCHUN PRIMARY SCHOOL,23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063,739063,21865.3411816815,45800.7908879817,1.43047990810126,103.778192944298,103.778192944298
FUCHUN SECONDARY SCHOOL,http://www.fuchunsec.moe.edu.sg,21   WOODLANDS AVENUE 1,739062,63681984,na,63670180,na,fcss@moe.edu.sg,"MARSILING MRT, WOODLANDS MRT","187, 856, 912, 913M, 925, 925M, 926, 950, 960, 960E, 961, 961M, 963, 963E, 963R, 966, 912B, 912M",MDM ONG BEE LIAN DORIS,"MR SIM KOK HIAN, KENNETH",MR KWAN YEW MENG,NULL,NULL,NULL,NULL,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,FUCHUN SECONDARY SCHOOL,FUCHUN SECONDARY SCHOOL,21,WOODLANDS AVENUE 1,FUCHUN SECONDARY SCHOOL,21 WOODLANDS AVENUE 1 FUCHUN SECONDARY SCHOOL SINGAPORE 739062,739062,21802.2213575486,45825.6298548002,1.43070452883799,103.777625748539,103.777625748539
